"year","month","latitude","longitude","terrain","seals","min_ice","max_ice"
1998,1,-70.632,-9.367,"ice shelf",0,0,0
1998,1,-70.627,-9.375,"sea ice",0,10,30
1998,1,-70.598,-9.421,"sea ice",1,60,80
1998,1,-70.595,-9.427,"sea ice",1,60,80
1998,1,-70.593,-9.43,"sea ice",1,60,80
1998,1,-70.572,-9.465,"sea ice",1,60,80
1998,1,-70.424,-9.711,"sea ice",1,40,60
1998,1,-70.37,-9.796,"sea ice",1,50,70
1998,1,-70.348,-9.832,"sea ice",1,50,70
1998,1,-70.345,-9.839,"sea ice",1,50,70
1998,1,-70.32,-9.88,"sea ice",1,50,70
1998,1,-70.043,-10.317,"sea ice",1,50,70
1998,1,-70.015,-10.362,"sea ice",1,50,70
1998,1,-70.003,-10.38,"sea ice",1,50,70
1998,1,-69.992,-10.398,"sea ice",1,50,70
1998,1,-69.992,-10.398,"sea ice",1,50,70
1998,1,-69.941,-10.484,"sea ice",1,50,70
1998,1,-69.938,-10.489,"sea ice",1,50,70
1998,1,-69.868,-10.601,"sea ice",1,50,70
1998,1,-69.841,-10.642,"sea ice",1,50,70
1998,1,-69.827,-10.662,"sea ice",1,50,70
1998,1,-69.788,-10.721,"sea ice",1,50,70
1998,1,-69.708,-10.842,"sea ice",0,0,0
1998,1,-68.243,-12.856,"open water",0,0,0
1998,1,-68.242,-12.856,"open water",0,0,0
1998,1,-68.791,-12.358,"sea ice",0,0,10
1998,1,-69.034,-12.032,"sea ice",1,30,50
1998,1,-69.05,-12.009,"sea ice",1,30,50
1998,1,-69.318,-11.627,"sea ice",1,10,30
1998,1,-69.508,-11.352,"sea ice",1,20,40
1998,1,-69.545,-11.298,"sea ice",1,50,70
1998,1,-69.548,-11.292,"sea ice",1,50,70
1998,1,-69.595,-11.22,"sea ice",1,60,80
1998,1,-69.632,-11.168,"sea ice",3,60,80
1998,1,-69.671,-11.112,"sea ice",1,10,30
1998,1,-70.005,-10.61,"sea ice",0,10,30
1998,1,-70.242,-10.242,"sea ice",1,10,30
1998,1,-70.38,-10.033,"sea ice",1,10,30
1998,1,-70.418,-9.969,"sea ice",1,10,30
1998,1,-70.522,-9.808,"sea ice",2,10,30
1998,1,-70.54,-9.779,"sea ice",1,20,40
1998,1,-70.676,-9.555,"open water",0,0,0
